3.55271368e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.55271368e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
4.44089210e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.55271368e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.55271368e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
3.77475828e-15,0.00000000e+00,334,5.14059328e-01,1.69850180e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,
max_error,step_size,num_flips,min_corner_angle,max_corner_angle,direction_angle_change,direction_norm,direction_residual,
